Местное время,meteostation,T,Po,Ff,W1,Тип выезда
2013-01-01,Березники,-18.7625,745.675,0.75,0,Пожар 
2013-01-01,Верещагино,-17.9,740.225,0.25,Снег или дождь со снегом.,Пожар 
2013-01-01,Добрянка,-18.3625,747.5625,0.75,Снег или дождь со снегом.,Пожар 
2013-01-01,Кудымкар,-18.1375,744.6,0.25,Снег или дождь со снегом.,Пожар 
2013-01-01,Кунгур,-20.8,746.4,0.0,Снег или дождь со снегом.,Пожар 
2013-01-01,Лысьва,-18.15,740.4625,0.625,Снег или дождь со снегом.,Пожар 
2013-01-01,Пермь,-18.625,745.7125,0.75,Снег или дождь со снегом.,Пожар 
2013-01-01,Чердынь,-18.025,742.85,0.5,0,Пожар 
2013-01-02,Березники,-23.7125,750.7125,0.75,Снег или дождь со снегом.,Пожар 
2013-01-02,Бисер,-25.3875,722.1875,0.875,0,Пожар 
2013-01-02,Добрянка,-26.75,752.6875,0.125,0,Пожар 
2013-01-02,Лысьва,-24.4625,748.3375,0.0,0,Пожар 
2013-01-02,Пермь,-24.85,750.9,0.125,Снег или дождь со снегом.,Пожар 
2013-01-02,Чермоз,-29.9,755.7,0.0,0,Пожар 
2013-01-02,Чернушка,-22.15,753.175,1.0,Снег или дождь со снегом.,Пожар 
2013-01-03,Бисер,-22.1,721.8,1.125,0,Пожар 
2013-01-03,Лысьва,-20.3625,744.9,2.125,0,Пожар 
2013-01-03,Пермь,-22.3375,749.7125,2.0,Снег или дождь со снегом.,Пожар 
2013-01-04,Березники,-11.9,742.9571428571428,4.142857142857143,Снег или дождь со снегом.,Пожар 
2013-01-04,Кунгур,-13.0,748.3,2.0,0,Пожар 
2013-01-04,Оса,-10.385714285714286,750.8571428571429,5.571428571428571,Снег или дождь со снегом.,Пожар 
2013-01-04,Пермь,-11.3125,743.7625,3.75,Снег или дождь со снегом.,Пожар 
2013-01-05,Кунгур,-6.3,742.7,3.0,Снег или дождь со снегом.,Пожар 
2013-01-05,Оса,-5.8,747.4125,3.625,Снег или дождь со снегом.,Пожар 
2013-01-05,Пермь,-6.9,740.3125,3.0,Снег или дождь со снегом.,Пожар 
2013-01-06,Березники,-9.185714285714283,745.3142857142857,2.7142857142857144,Снег или дождь со снегом.,Пожар 
2013-01-06,Верещагино,-6.7875,740.1,0.875,Снег или дождь со снегом.,Пожар 
2013-01-06,Пермь,-6.275,746.0875,1.75,Снег или дождь со снегом.,Пожар 
2013-01-06,Чермоз,-7.8,748.8,4.0,Снег или дождь со снегом.,Пожар 
2013-01-07,Березники,-7.685714285714285,750.1,1.2857142857142858,Снег или дождь со снегом.,Пожар 
2013-01-07,Верещагино,-6.9125,744.8875,0.375,Снег или дождь со снегом.,Пожар 
2013-01-07,Кунгур,-6.5,752.4,0.0,0,Пожар 
2013-01-07,Пермь,-6.425,750.5,1.25,Снег или дождь со снегом.,Пожар 
2013-01-08,Березники,-10.6,748.8375,0.875,Снег или дождь со снегом.,Пожар 
2013-01-08,Пермь,-8.6875,749.6875,0.875,Снег или дождь со снегом.,Пожар 
2013-01-09,Кудымкар,-18.45,745.2625,0.25,Снег или дождь со снегом.,Пожар 
2013-01-09,Кунгур,-18.6,749.2,0.0,Ливень (ливни).,Пожар 
2013-01-09,Лысьва,-13.8,741.1625,0.875,Снег или дождь со снегом.,Пожар 
2013-01-09,Пермь,-13.9875,746.1875,0.5,Снег или дождь со снегом.,Пожар 
2013-01-10,Кудымкар,-20.075,744.7125,0.0,Снег или дождь со снегом.,Пожар 
2013-01-10,Кунгур,-19.7,746.9,0.0,Снег или дождь со снегом.,Пожар 
2013-01-10,Пермь,-20.05,745.5375,0.5,Снег или дождь со снегом.,Пожар 
2013-01-11,Березники,-19.3125,746.2875,1.125,Снег или дождь со снегом.,Пожар 
2013-01-11,Кудымкар,-22.2125,745.9,0.25,Снег или дождь со снегом.,Пожар 
2013-01-11,Пермь,-22.2875,746.7,0.375,Снег или дождь со снегом.,Пожар 
2013-01-12,Кунгур,-24.7,748.6,0.0,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Пожар 
2013-01-12,Лысьва,-18.775,737.9625,2.25,Снег или дождь со снегом.,Пожар 
2013-01-12,Оса,-22.214285714285715,753.0,1.0,Снег или дождь со снегом.,Пожар 
2013-01-12,Пермь,-18.85,743.8625,1.125,Снег или дождь со снегом.,Пожар 
2013-01-12,Чернушка,-26.1875,749.0625,2.0,Снег или дождь со снегом.,Пожар 
2013-01-13,Березники,-13.9125,733.1625,4.0,Снег или дождь со снегом.,Пожар 
2013-01-13,Верещагино,-15.875,730.7375,3.5,Снег или дождь со снегом.,Пожар 
2013-01-13,Добрянка,-15.425,737.075,2.5,Снег или дождь со снегом.,Пожар 
2013-01-13,Кунгур,-18.8,739.4,5.0,Снег или дождь со снегом.,Пожар 
2013-01-13,Чердынь,-12.475,728.9125,2.75,Снег или дождь со снегом.,Пожар 
2013-01-14,Кунгур,-15.8,738.1,2.0,Снег или дождь со снегом.,Пожар 
2013-01-14,Пермь,-12.3375,734.375,2.25,Снег или дождь со снегом.,Пожар 
2013-01-15,Березники,-14.2125,732.725,3.875,Снег или дождь со снегом.,Пожар 
2013-01-15,Кудымкар,-14.025,733.825,4.375,Снег или дождь со снегом.,Пожар 
2013-01-15,Кунгур,-9.5,732.5,5.0,Снег или дождь со снегом.,Пожар 
2013-01-15,Лысьва,-13.05,727.925,2.875,Снег или дождь со снегом.,Пожар 
2013-01-15,Оханск,-12.175,736.0875,4.375,Снег или дождь со снегом.,Пожар 
2013-01-15,Пермь,-12.2875,734.5125,3.5,Снег или дождь со снегом.,Пожар 
2013-01-16,Березники,-24.1875,742.8,2.625,Снег или дождь со снегом.,Пожар 
2013-01-16,Верещагино,-20.15,739.5,2.375,Снег или дождь со снегом.,Пожар 
2013-01-16,Кудымкар,-22.6625,743.4,3.625,Снег или дождь со снегом.,Пожар 
2013-01-16,Лысьва,-21.7875,737.8875,2.625,Снег или дождь со снегом.,Пожар 
2013-01-16,Ножовка,-19.45,749.85,1.25,Снег или дождь со снегом.,Пожар 
2013-01-16,Пермь,-20.0375,744.3625,2.5,Ливень (ливни).,Пожар 
2013-01-17,Березники,-25.8,750.5,1.75,Снег или дождь со снегом.,Пожар 
2013-01-17,Верещагино,-25.0,747.775,1.125,0,Пожар 
2013-01-17,Добрянка,-26.1875,754.1125,1.875,Ливень (ливни).,Пожар 
2013-01-17,Оса,-33.6875,762.0625,0.125,Снег или дождь со снегом.,Пожар 
2013-01-17,Пермь,-24.325,753.0375,1.75,Снег или дождь со снегом.,Пожар 
2013-01-18,Березники,-16.525,747.2875,4.125,Снег или дождь со снегом.,Пожар 
2013-01-18,Кудымкар,-18.1625,748.3,4.25,Песчаная или пыльная буря или снежная низовая метель.,Пожар 
2013-01-18,Ножовка,-27.9625,757.3375,0.125,0,Пожар 
2013-01-18,Оса,-33.0,760.775,0.125,Снег или дождь со снегом.,Пожар 
2013-01-18,Пермь,-20.575,751.55,2.25,Снег или дождь со снегом.,Пожар 
2013-01-18,Чермоз,-20.8,755.2,2.0,Песчаная или пыльная буря или снежная низовая метель.,Пожар 
2013-01-18,Чернушка,-32.8125,756.325,0.625,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Пожар 
2013-01-19,Верещагино,-21.075,739.2375,1.125,Снег или дождь со снегом.,Пожар 
2013-01-19,Лысьва,-17.1875,740.525,1.625,Снег или дождь со снегом.,Пожар 
2013-01-19,Ножовка,-17.6875,748.65,1.0,Снег или дождь со снегом.,Пожар 
2013-01-19,Оса,-21.0875,752.3625,0.75,Снег или дождь со снегом.,Пожар 
2013-01-19,Пермь,-19.1,745.275,0.875,Снег или дождь со снегом.,Пожар 
2013-01-20,Березники,-17.0,739.4875,1.5,Снег или дождь со снегом.,Пожар 
2013-01-20,Верещагино,-16.0875,734.8,0.75,Снег или дождь со снегом.,Пожар 
2013-01-20,Коса,-15.65,739.0,1.875,Снег или дождь со снегом.,Пожар 
2013-01-20,Кунгур,-16.1,742.4,0.0,Снег или дождь со снегом.,Пожар 
2013-01-20,Оса,-14.15,747.8125,0.625,Снег или дождь со снегом.,Пожар 
2013-01-20,Пермь,-11.725,740.4125,1.25,Снег или дождь со снегом.,Пожар 
2013-01-21,Березники,-14.9625,737.6625,1.5,Снег или дождь со снегом.,Пожар 
2013-01-21,Губаха,-14.55,727.7125,0.0,Снег или дождь со снегом.,Пожар 
2013-01-21,Пермь,-8.737499999999999,737.9375,0.625,Снег или дождь со снегом.,Пожар 
2013-01-22,Березники,-10.2875,727.6375,2.75,Снег или дождь со снегом.,Пожар 
2013-01-22,Губаха,-7.487500000000001,717.3625,1.375,Снег или дождь со снегом.,Пожар 
2013-01-22,Добрянка,-7.9625,729.325,1.75,Снег или дождь со снегом.,Пожар 
2013-01-23,Пермь,-15.65,733.5,2.875,Снег или дождь со снегом.,Пожар 
2013-01-23,Чермоз,-22.2,736.6,1.0,Снег или дождь со снегом.,Пожар 
2013-01-24,Березники,-13.7625,734.925,3.875,Снег или дождь со снегом.,Пожар 
2013-01-24,Кунгур,-13.2,738.8,5.0,Снег или дождь со снегом.,Пожар 
2013-01-24,Пермь,-13.4625,737.425,3.125,Снег или дождь со снегом.,Пожар 
2013-01-25,Березники,-17.0875,738.1625,2.125,Снег или дождь со снегом.,Пожар 
2013-01-25,Пермь,-16.1875,739.0875,0.875,Снег или дождь со снегом.,Пожар 
2013-01-25,Чермоз,-16.3,744.2,2.0,Снег или дождь со снегом.,Пожар 
2013-01-26,Березники,-20.3625,741.075,1.875,Снег или дождь со снегом.,Пожар 
2013-01-26,Кудымкар,-20.7375,740.9625,2.125,Снег или дождь со снегом.,Пожар 
2013-01-26,Кунгур,-26.1,743.2,0.0,Снег или дождь со снегом.,Пожар 
2013-01-27,Березники,-23.6375,748.925,2.125,Снег или дождь со снегом.,Пожар 
2013-01-27,Ножовка,-18.0,755.05,1.625,Снег или дождь со снегом.,Пожар 
2013-01-27,Оса,-18.2375,758.4625,1.5,Снег или дождь со снегом.,Пожар 
2013-01-27,Пермь,-20.0625,750.3375,1.75,Снег или дождь со снегом.,Пожар 
2013-01-27,Чермоз,-30.0,754.6,1.0,0,Пожар 
2013-01-28,Березники,-15.7625,749.3125,3.75,Снег или дождь со снегом.,Пожар 
2013-01-28,Добрянка,-14.425,752.95,2.875,Снег или дождь со снегом.,Пожар 
2013-01-28,Коса,-14.575,746.8,3.5,Снег или дождь со снегом.,Пожар 
2013-01-28,Лысьва,-15.725,746.6875,3.125,Снег или дождь со снегом.,Пожар 
2013-01-28,Пермь,-14.7125,752.025,2.625,Снег или дождь со снегом.,Пожар 
2013-01-29,Березники,-9.75,747.0375,3.875,Снег или дождь со снегом.,Пожар 
